name,cost,decription,images
Solanum citrullifolium A. Braun var. setigerum Bartlett,92,University of Notre Dame Australia,edsigtuV7ikVVsg1vdsFMrDUqdcfBVtsBgFXdAyuYhHpHGrA4pZ1wCWZX3fse1z6zpvtbAcPJf5CPe7fE2WeywQTpkmCf3yjXq5
Helianthus porteri (A. Gray) Pruski,77,Universidad Casa Grande,edsigtdbNuaXTZEtXYxPD2kEStR9T69fgdeHoRr3M37DmuVXBF2weMgqzAXjPZWxkk6p4XLY8bJZtF7ctR4Siu52xpPQ8f6w6kq
Castilleja caudata (Pennell) Rebr.,80,Universitas Bung Hatta,edsigto54qgeH46H71TSEZ4nrrRBztdgdAQVaBe4wkYo5cnGREyehsokQEoGPibTY3TooUUGPoM2c7Q4MswFGzLDQN3a8mLu4eW
Viola macloskeyi Lloyd,33,Universidad Peruana de Ciencias Aplicadas,edsigtzqaHh5fecnX2bGbX4qtSQpNxEXTTZnEmZ9sumheW7tE4WbveSqRTUx4LZ7EYcnRuWiKzjBCfMVhjZW8A6vHVfPb8VPJQE
Schedonorus pratensis (Huds.) P. Beauv.,39,Madonna University,edsigtykgPGKDNrguTvuyzzjf5KjFfxy4j87vjwKhdhUHUSqKT7AXnjV4nC23tWiJSqAqmKtBu2hsDYbGWG47yiiWRUFqD3TmEE
Crataegus okennonii Phipps,21,Norwegian Teacher Academy for Studies in Religion and Education,edsigtwy3HuQqXTFPUA8bdDv12gkiPKyx2uHbQEXmWVc6rgTu9DJQ453TMkptbbY6eo9T3TDxRGkfJq3ZYJusdi6Q1rw47EUgN1
Crataegus reverchonii Sarg.,91,Fachhochschule Pur,edsigtqN4n8CQoz3no1DmXBGUuAE976bG7LZ4Wmt8buQT1xPTUj4qfTzChu5vy7Je1Nh8rhdryc3aixBPaf2Yb6SdynPqK5spDX
Parmeliella Müll. Arg.,22,Webster University Geneva,edsigtsAK1KS4BLQFk8mNvcisoto61c4t3w5qfKPhyPaPvcBwr88SQ7VD9n5wxEUqTxki9QVCpptPDF848PSweaMyCJsac6NFH5
Carex breweri Boott,51,National Yang Ming Medical College,edsigu5JxqbLXeG9wbwV5f4RUVDXarEEXTjiWHz1gxp8zDgNGb3DYmnztKtiVwvg4bfKA7M4kCJtyFtHdZB2nDJpFQZTWt8rdco
Tragopogon mirabilis Rouy,92,Toho College of Music,edsigtYBa4hjo4VGssofvG6sb9Rb5GJwCfHh1kLXFoYvwek76VQgdvP4zdq9Ny6nQxUjYgpXU16xDRSp5UAY6z2C5aL6K8g1EHm
Baeomyces placophyllus Ach.,60,University of Texas Health Science Center at San Antonio,edsigtvmnAbQhkaELD6R4TNXy1F1z5Gcs22LLe7y86k2qgJxNw4FK6EbxFuPG5dvNLmEyTaRYxVyNhKWswoNaAQT6pLksMhMJGM
Arabis constancei Rollins,65,Instituto Superior de Entre Douro e Vouga,edsigtfyAgsDaYhoFt2JufELi7MtnvJYS7pp94B2n8wQJ2EL2iTzAWxzAPrv8aCN783m9sax3XyPLhTE3XbVvV2HfVJE3PdgVyY
Machaeranthera juncea (Greene) Shinners,9,STMIK Sinar Nusantara,edsigttMRm18k33NXwwfzHYTbZJ5DrmhVNJB9YpZBaaQRCRmD4tSGBpvNGzQhoH6pio5DLQYvJX2pDaNwBiuHHio85AfcDmbGYh
Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt ssp. praecox (Fernald) Kartesz,25,La Salle Universities - International Programmes,edsigtbSPHSiWCoGzscdaWv1cWrTMro8FFDVkgJ4QSLakE8mh3YV85eK8xwSp6upfJteSvLtBdWynWbap1gCxSgvtfhYFQ2vYwc
Gagea villosa (M. Bieb.) Duby,35,"Universidad de Puerto Rico, Cayey",edsigtq8aVLbzvvfwhLfDwNqbw3U3SviWVJu4BALUwJmygjRmy3uYQTrE2d3qbjaU8QC8KT51r4MbtHqFSZfPR69ZWYfXqCd5BX
Carex bicolor Bellardi ex All.,87,Universitas Islam Indonesia,edsigu1Y46Rs8yx5WTstNB5xaaEXMRLQ2PAn1z9EkQgjfzy38HQRMocUyn8f26rPNhAZ9MMd6BnpThoiEXrCdP73G2sygXUAqVp
Rhodiola integrifolia Raf. ssp. leedyi (Rosend. & J.W. Moore) Kartesz,62,Sadat Institute of Higher Education,edsigtZ5a7veiPeWXEsBKfNN82YYzn8Bubt2ZwugJWgLEfrig49MmLSpPt5594RTkyXnkstMGJvpvnCPDxjXvVJc5ky9QyVPk2k
Primula veris L.,50,University of Scranton,edsigtkFM9u4J9aWLLQx14qSpXQ5vJVHmViqspPZaumFnzjLdXcE6u8HLearhjXBMrayYAZR9guja1oLHCiPWcwm1q4rYsTnRbe
Polypogon elongatus Kunth,97,"American University of Hawaii, Punjab Campus",edsigts6NhdHQATLuDmvBpj6HfsqviLsv74Pbbs7pDVBADJLKPSUmeeMUJWommfzVyodzg9LJ6zhjjKK6XpjnThzM1P6EHKu8Ag
Ranunculus cardiophyllus Hook.,84,Illinois Wesleyan University,edsigtxRpJpH93A9VCSpe7QgJ73RP8B36V2jQkmguHjv7HH8C9LBazwQrfyBfYXWiXENjvnNd9Eo9eQWFJhDXxKkVTBuWVWmjC3
Fritillaria pluriflora Torr. ex Benth.,50,Ecole Nationale des Sciences Géographiques,edsigtrwzqH7wuEWBEbx35JiF6SMCw3pRH9du8PqrhQwqUyMbr3TKSQaQzjby5npuzmvtph42CkdcD27hh8UHUh6jedfkfnJcTf
Anemone parviflora Michx. var. parviflora,35,Minsk Institute of Management,edsigttacTB5qbaAmL243McYoAJJapaNt2E9ZNCvAHczKysngpWX25bz5ALyWUa8Edghdm4zSnVNrgYNFDQ7pTyHf2aQceFCjY8
Ballota nigra L. var. nigra,45,Universitas Negeri Malang,edsigtb2WBATQH1xdwRTiE6DQJBv9asNd3kCQDRZh6CV4f7zcSudQmCqAZsLkcnHUqRSyqMY2ebbjNeEWFtdRcS4hoJV3TP1WyZ
Matelea pubiflora (Decne.) Woodson,32,Concordia University,edsigtbJtMSgtCai8Z6WgJdynVhxp5vzZYjQVDc9kJ8vvEY7JY2z2UkTjF72EaeXeHaWffnrRNw4QewvzqqXNXZXbZgBhjVkNFp
Cornus amomum Mill.,83,"Synergy University, Dubai Campus",edsigtsFkvp2SjsYxYrw1iko6c7C67kMazpTtXLo2wENFeH6VqKkJWgHWRznskxEBs831rQeN14i6guk9NkPiA7iCs8k8jCsnxk
Brassica elongata Ehrh.,91,Osaka Institute of Technology,edsigu4H523bpKLuy9CQ7Smd5Msx2NvhECUExRY53kJYUQ51AU6mTp6DN5EJEX2ENSB9Gx4MxnfcRjDXVN7Fb8tR5X5eBe2DBVW
Eriophorum viridicarinatum (Engelm.) Fernald,68,"University of California, San Francisco",edsigtnQ1MmJhCoVQZC8FcSmaZSGzgwtAxXiPnmZ6Kt8XnL52cK9zzNhf5v8uTo4AuSq6XumZTC3BKbSihzkfjuVZsYW7QJmKuF
Actinidia chinensis Planch.,78,Mohi-ud-Din Islamic University,edsigtz3zPfrxBX6P1vVWo2V7zuhCXi86xSBLqsuh92VcAYUK4gAuLqHWfUQJfwcqKZZiRmYM7BZsg958ZDgKUQp2AtozSqwioJ
Dactylina beringica C.D. Bird & J.W. Thomson,21,Iact College,edsigtvSbH6ZG12jBtz9zLVgkbUNMJYYykFHjwPr2xxvCBc81X2D4aRSFqeuhJFZ2muVfJJbmZSN3vv11tkVPyTUC8xt8ouyh9P
Verrucaria viridula (Schrad.) Ach.,92,Shonan Institute of Technology,edsigtiy6KtsHfy9URKcp7M5hudyW5s8gSafZvKNrRcNuBd67EXDNmzJdUVsGfX3A24rDHNZVGaeAijTbZzUc24vFdyq4Vm9JCM
Gibasis geniculata (Jacq.) Rohw.,58,Jimei University,edsigtmHZja5hwLYV2Aqu6sYFakhi7ZgmaK8M4kpAt7RwTuGC9WyN4NFruTKn4Gdr1GTy6MejTdFTwJQ14waGLvPG1qUn9pwr5B
Nama stevensii C.L. Hitchc.,39,IntelliTec College - Grand Junction,edsigtrZ6eR8JsCSh2X6wnMbVEHEe2dVPixuMc6jcbyYynwFspSq7dPVtPc9yFN9UBM5MrMgohvs4XFzVqDPzeYJgoyH1okiUwJ
Ixora casei Hance,33,Wudanshan Taoist College ,edsigtz79ABgTXjfFEoWeVDnsUERAFhxtRXowKXRFE9tcUvEdkVQkqASBWiQT6tCs9bDh4cbNffKpNa5Bkqo1LXAwLpHvowGNqJ
Cladonia perlomera Kristinsson,52,University of Modern Sciences,edsigu54Uqvw8hXCh91Ag2UXRvejyQ22zvWMvVzmLaXyKRi2nzqMhp4EgAJ3MeQULJJpHBWHAN24kAnZFt1NoUQv6yZzhHgynEK
Hebestigma Urb.,46,University of Nebraska Medical Center,edsigtYrLZRBnPvmLns6onGj5gJV48HC6CTArjHmmRfmjN8iKyuDtyigHTLtgBDm952p7J6CakdhoqXsLwnLw4xRaT4MVf9ZEAM
Grimmia torquata Hornsch. var. torquata,86,University of the Philippines Diliman,edsigu3ah1cvPejXZpzFpiaApCRZbFL2fKqz2mcyeiqRtQAKzfTeyZruL4zd7pu1j9TE3sZma5y4WC2MJuuBRvMXocWWAGTkhcZ
Parmeliella crossophylla (Tuck.) G. Merr. & Burnham,53,"Université du Sud, Toulon et Var",edsigu5Bi6fdgmScyVetpQ5dp7dwqPyYiViqn966RscrTiYyfpgNr9Zp7iKZPEjDcYfxzsyUA2bT4jWnYEoCobk9rqAHXPYs7CF
Lupinus vallicola A. Heller,42,St. Petersburg State Agrarian University,edsigtkhzuzGcUcashhPzdt2A8vLDCBdjnPjk1DAFPcBkt9YGr3nzmaFPNjtg1Nf8BqaczKZcNpQDy3wUtWRi9vyCJuZWT4juQP
Calotropis R. Br.,83,Elisabeth University of Music,edsigtaPPeGsxobKNJAPBX3g1hRAPggYmKfuXoyp8GvL8eGHBkCWzDnz6KFGMwy7QhR21w8qLHnPbL7ttrbttLHAZSaLre6BDre
Physocarpus alternans (M.E. Jones) J.T. Howell ssp. annulatus J.T. Howell,43,"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",edsigteJ1dEYNQ8bnadMfCR5qsy1ZXt4jfqXqD6j1jnuNhP8xHj5S56xDFmYckJsvUaJYFPK8TwRDeXRwTrtoeCpQdJAme8J3Rh
Palafoxia arida B.L. Turner & Morris var. arida,10,Universidade Cidade de São Paulo,edsigteLvvGr2RFR5zrZRZBT3ygTPwUcVvWYMxMjC4dAwEhcXHMecSpw2YtJkrhq6DAAswxetBh95rwSToNgwkaz3NH9FChwAka
Eriogonum desertorum (Maguire) R.J. Davis,45,University of Waikato,edsigtY4qUMzkshzBRgfDSEh2wuEdH6pcPfuQPL5bG6ZoJaGUWxjF3TUq2UzUaiZ93ApAnvGL7558bH1Srr1kGtFe52QLvpufP8
Astragalus shevockii Barneby,98,Spring Arbor College,edsigtcFxLT39U5oTJkJpYhjpUkKH8rEofdsowRMjECi8MRDWjLFncAs27zW7e5xs5ru6dryPehzkyqsoAKNqA4kfbCYof5mYSn
Lithachne pauciflora (Sw.) P. Beauv.,84,Universidad del Valle de Guatemala,edsigtpRPXwDBjpehB9JPHZFZJM1g1dYWpDCE3EzeqT6oHTyNyBrUg26kx3qfhbxoM9V3CTczErJaikaB9XNxWgwxReuJrnc1nT
Hieracium ×atramentarium (Naegeli & Peter) Zahn ex Engl. (pro sp.),16,Zawiya University,edsigteyJKHAcJu1c836K2Li27qSZUekZJ5h2tW7DXZo2pipnviLGA7mHkhDPJQHd5LmMDbGnogTqHbaiUqQ2pHw5ozpNraGLR5
Listera caurina Piper,33,Science University of Tokyo,edsigu3cjWQhY7QACXnG1MPfWcLcK7zfJ93AB3Lsd32bNjTWfgC5rSEkz3ksmmSzVrssEGgRMmYmCv7YtRKqDqNrN7PwGsYjkjz
Carex filifolia Nutt.,21,St. Mary College,edsigu7AFoFED2o9yvqgvffD8qMLsEAG7QNmEXnK9nUYNLeWhKVxeH8n1aj7Wv2AozBSiPwKiaMvTmnad3QTM3rLp1P6k87ReCh
Rosa nutkana C. Presl var. setosa G.N. Jones,8,Elizabethtown College,edsigu5sXt97QEsDiR7P2P8BSZJ1qiSLrfHUi4m4MZSxSxh7jp3qdsuS5foqNfMeXnKtJ4T4RAgSt9N1ECMT2uhkoK8pY47exrm
Vulpia microstachys (Nutt.) Munro var. microstachys,94,Maryam Institute of Higher Education,edsigtaAqANELM2EjLTQSeJ2TNJwTVnQBtWTskLtLDdbwJmSQvhTLmgZxnkNcRSwNpnUoDLfyWAgZz8rfv1kJDw6ZKWGPfLvikd
Rorippa curvisiliqua (Hook.) Besser ex Britton,97,University of Kabianga,edsigtnXcgNu5GvJNVBETKevbPwFA9N2rBRfBGjjaXjJHWcrMUvZPXf1g2DRihWdSnDmAy3Yrx2Rz6w1paAYzs7w8QCfALPThvU
Forestiera angustifolia Torr.,91,Institut Supérieur de Gestion de Tunis,edsigtu7PcWNujwEVjRhCUSLQ15xiHKX5juZnD8QRL9kMAVyRtzmy5TQVDz9zS4gxj2gxWhpPVU9YwDP8ZhLRi64cYV4EGVcDKE
Carex grayi × intumescens [unnamed hybrid],83,"University of Mining and Geology ""St. Ivan Rils""",edsigtbS2s7wMCz2nbEtqpanmLSKj1e5vnRUPxQQiPnEkNku4tTGyfJ4ABip4hn8qCRp92dAEBJdrK6jZJUxxdJcck4eLQT6TDp
Macrotyloma axillare (E. Mey.) Verdc. var. axillare,22,Saratov State Technical University,edsigtqqgrHFGXgSn2wYSYvDDG8cHs7FQP56u1krSiP5DJPTNoSeJrov4hjWtVrX3NubgcjrVL9uPiyjBS55m4SJ9rRwzGVUvkj
Miconia thomasiana DC.,39,Foothill-De Anza Community College District,edsigteRTdHyVQYH3HYoW97Lm1maQFGBi6wTBzPCrnVUc5tZHgqCCEwLPNycUHMm8D1tUfr4rvWNkD3kaotocCBFcG9QiN1u3u7
Lewisia columbiana (Howell ex A. Gray) B.L. Rob. var. wallowensis C.L. Hitchc.,59,Ardabil University of Medical Sciences,edsigtkXiCuvnqbcPHXrERMPY5FUjqYheUWifXq5jfmUK5r7VzJpB5HpHikffNCXSZQjreyGKAc9oL3KzDNxLD1wabQybGW1tNe
Viola ×conjugens Greene (pro sp.),59,Dr. Babasaheb Ambedkar Marathwada Universtiy,edsigtvg89q1gmy9GvAz7dFV4TcoreGoncv21VX7qa79GYXmiUwo2W4wDi9uzMpDecNqFPTWxcaoXJkevr6XQpPrxV9kjN7Y7or
Frasera gypsicola (Barneby) D.M. Post,83,Nairobi Institute of Business Studies ,edsigtizJoMKzFUHty23kTJ7K6HQ7XRuAsUkqNqwoA9TeTGFo6MXwPY4ueYhMSLU86vXLsRGLYjtqYxMYGHEpsdvTw6ghhePu1M
Suckleya suckleyana (Torr.) Rydb.,70,Universidade Tecnica de Angola,edsigtjGW6zXDd1RR7xTLGZzSwsAk9MVHJD7ykVTTMtmRD7i7oX3pZy9ZQXo3fDdjG9YjoG7ztsC2kYjbEH7uNPqF27Kq9DuCWg
Oxytenanthera abyssinica (A. Rich.) Munro,38,California State Polytechnic University - Pomona,edsigtkTswTjy3HNMsjeS9naANeXcQX4FLwFUbGf9XitkkUAgoTXXaB2KN3RM8LqdjeiwVYrEZneXfoP9VnQXT6wLGCdeDTSDRu
Oxytropis nana Nutt.,98,Saitama Institute of Technology,edsigtihGGfK5r4SaTHRbGx5ZtWqvyGeJyuPNnt9k2DusbJ3ttcmSEnFe9fd3nzZVCzoVrLCrysDWHv9T8sQHF7QwRbHksHg9kT
Brickellia hinckleyi Standl.,55,Private Hanseuniversität,edsigtZr2E2ERkuf6Pz1TaWtg381DQD7oQNnAqMkaomyqzGnDuCZh4YdGYCqDCqs7Q1oi4bmSGDDd8Bh9keF2wQTJNLgvG5YdMm
Epidendrum magnoliae Muhl.,100,Oklahoma State University Center for Health Sciences,edsigtmLAthxTAb6M3TSazVYdmLcds1Bi7VUABZZmubDocHopYvgV5Jv5HmwbbbeFvYf2cJShMKsHc1dpLGf66X6ycnwLgw3TUY
Isocoma pluriflora (Torr. & A. Gray) Greene,52,Trident University,edsigu3r3JVtvHwkV9WR9vWL7wgCSPERQPgAcdKydRuMQTMuvJUq57VV9F6L7gW3zd85MpN2ud7pvjbd38PES4CFaYbv6vT3HLG
Monardella siskiyouensis Hardham,14,Pusan Women's University,edsigtdtiBoZytXjUGPpzxvMNdzxyZixbQnmFcQDXUwNd2baoxLnu7XfmtKHe4BhmDFLnK7mCm8yjLRS1R6atboBjz3cPXuRpFs
Enceliopsis argophylla (D.C. Eaton) A. Nelson,65,Korea Maritime University,edsigtkpYTs9oAiHLwqd1skNpPSTtc4b76rnyFfhMLd5VEFP9CTg2Vj9RwsTvLk8T2akCbVnGJX7shNGZdBaRUjwEP8GpwwmceJ
Oclemena nemoralis (Aiton) Greene,78,Tver State University,edsigtbVbCbNk7Ny1YE5LUyzamL7oZhtGk4xKyRbpu5ChAiezK2BFhBz3NyYxAaHR8fFHNiPik88ppQrCGmJjxnK3ySzaizBWXw
Ceanothus impressus Trel. var. nipomensis McMinn,85,Catholic University of Malawi,edsigtcVjHHmhGV75KMtwsqGCNhSYwgWMhQZsAURdkEj3wcBwEUf1J2c4wbxvvZu8RZ5Ku5GV96H45JkjYQ7Mw7UpZhDMokd8UK
Melicope kaalaensis (H. St. John) T.G. Hartley & B.C. Stone,57,National Tainan Teachers College,edsigteuD8gbaerjDCM3HDvMyaHLQHYWhstFCs3TXU95BmWcb7YJgBaTNpHdfVqtAVsTLFAJVq8G6wCXPSkbMUkFkWxfMvMEMuW
Garrya ovata Benth. ssp. lindheimeri (Torr.) Dahling,36,Hong Bang University International,edsigu3qb4KiDf5kcYA1vQbCooXP1ppkVmBj6o4gAmYTb1q5ASw6TPskiNGai6dJ8B6TbnJ1TYn9ysE9g9YS78A6yR2na8HdvCQ
Calycanthus brockianus Ferry & Ferry,22,Libera Università degli Studi di Scienze Umane e Tecnologiche,edsigu2rUky66zVRJF7psGsjUVBNhXvhJ6Fgwfsey9bcrMRe3GVHes4UNjpAUGtbwyJH82sGZXz35sw2hkkeokqsBzQdzR6QsXb
Hypotrachyna virginica (Hale) Hale,2,Ecole Nationale Supérieure Electricité et Mécanique,edsigtnZx2zcRSZ6sc5krcuXNZ347mrAjVfiXUVJ4m1hkuREQJL92WxhvUJKJCLW8L5eTh6KVou9TJugchg3NgJtJn83nWstqUb
Trichomanes hookeri C. Presl,37,College Misericordia,edsigtma6g6C7FUca27BZSQ3ozegLrbfAa537FWefeDDDVb4AxS7yodMD2KqXRfYSM2xRC6N7ehKSg7wnBbbrccVLP22nfyyyey
Astragalus cusickii A. Gray,27,Sultan Qaboos University,edsigtYrVu57VPDkoevsnDjCVfFc4ojHV2abNWR1pBswp4sa3CBo4nCZ6eUp79uU6UqvkiWMJ1cJVHrSxZHmt4R4G4rqvbYF6VY
Carya illinoinensis (Wangenh.) K. Koch,10,Universidad de San Miguel,edsigtdUP1Wz6Rs4tCL9LbdidLn51iHqcwWPDNMikfJVZe4ku1oLgXcxMTb5LbJntW5tySUiSsizN3QNtSkYvGFAxpRtCv4r57Q
Astragalus subcinereus A. Gray,77,Ecole Nationale Supérieure d'Hydraulique et de Mécanique de Grenoble,edsigtdwv3dbSuSoCwgdZFhYGUTCGpLRYSFGWn3E2LNrPWkjHx3nicjvuZ8FrQq19QRNq26E8cBLuHrnhYzCNzTLzGwyLvsEGZh
Eriogonum grande Greene var. grande,69,Evangelische Fachhochschule Nürnberg,edsigtiuNY3QaZKRPiMtTDBrdrmAsoXUP9JjFvSgYsjqKLrMfEMhrNgbGCJvep9WJQUZEEq3geCjBMHf5TFYA92vhThkK2LoJec
Schiedea implexa (Hillebr.) Sherff,27,Universidad Tecnológica Indoamérica,edsigtfXUkDMBnLJemFgCvfRXnyN95aHwkEcshuuKxrwUJafGg8TxvwSYQ4eivEW77TeqSE4wJoHqy3X7VLMDJGhKZi86avtwV8
Mimulus dentilobus B.L. Rob. & Fernald,55,University of Regina,edsigtsgsKS9R8fcy77t6u8ZBZKje8uf3aJcauF6rtEiHM7EuaggyV4C1mjpVmCrki799ZTHDdxMoqf8khJkQ871xQFmRDrKPBL
Synthyris platycarpa Gail & Pennell,53,University of Wollongong - Dubai Campus,edsigthEqvmGfdFGTV5WjQiJzSJt2eLzcP8RrC3cz23ugxZLgmDCPxZgUDLqkzPrTYzUtBes7wF3W36RfkFYEjPrtpPBGUgp3Rz
Silene douglasii Hook. var. douglasii,89,Zaporizhzhe National Technical University,edsigtnyFM4RDYcRzW3k8fPU8GFoGH1inCS1wSErs1K592svMfgS38YFwS7U9qGHVyVyuAT79SBope8UknTaAx8aahzYEPDToRG
Fuscidea praeruptorum (Du Rietz & H. Magn.) V. Wirth & Vezda,54,Emory & Henry College,edsigtcBYqUsQUnAzdE6kiyY42kXTyMnPK4QcCXdyUU7wapgDXVdsG4BoJxqikVZv2G5qzoU11DZUkzHxAXSqScJnLUefggLKDW
Senecio erucifolius L.,52,University of Dammam,edsigtuKnqiXcRCQ6Lc4peaDtW7oPhExkZDJWjPSQrum4Fcu2uN81qVk4P1eu6393ce3u6xZ32ENxeS18wYe4StL1d6na3YEeh6
Descurainia pinnata (Walter) Britton ssp. pinnata,100,Catawba College,edsigtfVc99oMkCFC7YyGCkcgxP4sNJe3cGrjdkrZW2H3isprYTxhYZtPPQyDatXX46Bfh9rheEwhZSfpiiRR8W3Gx9PvGHqvSr
Cordylanthus maritimus Nutt. ex Benth. ssp. maritimus,2,Sultan Haji Ahmad Shah Polytechnic,edsigtoH5e9BPSFauQduJSLWGRaQAkZPu4umSHcDTLndUJeMo8aTQeBoJgfJ2aky6kMwpoYC2MCZy2LEdbtC98EZD39Jg4AAJZC
Parmelia Ach.,42,Universidad de La Amazonia,edsigu5Uz6BuzDYMhkeHd5Sw3wBPebQKmyy8wtdSHN8zoa62zKAWSeTBFtwZgK2W3UxZRHGMoDw3D1yK7Af9SgnsV5UguUHYXYy
Atriplex coronata S. Watson,89,Oregon State University,edsigu2LyMkGrZXgeRLQ5j4oCGLTDhFbDMUuoMjEepuzEVXyg3Vrdxaanq4YEJseJUD7wFdJNzHp5T2Uitd2pYec7vSya4cVcBg
Rosa stellata Wooton,19,"Universidad Nacional Experimental de los Llanos Occidentales ""Ezequiel Zamora""",edsigto8rYNEQoMWNmgDhitBohNREm7DXfdNhovFbNyfqQsoNNmDgTc8CRZeqzqxYbgC4mddxT9nTge7nyak657CCT2WmPCNMwa
